transaction_id,7154604,7540630,7197594,6018769,6098014,7197594,6899999
transaction_line_id,3,27,83,484,105,92,3
transaction_type,Journal,Journal,Journal,Journal,VendBill,Journal,Journal
transaction_date,2024-09-30T00:00:00.000Z,2024-11-30T00:00:00.000Z,2024-09-30T00:00:00.000Z,2024-01-24T00:00:00.000Z,2024-02-08T00:00:00.000Z,2024-09-30T00:00:00.000Z,2024-07-31T00:00:00.000Z
accounting_period_id,290,293,290,280,281,290,288
accounting_period_start_date,1/09/2024,1/11/2024,1/09/2024,1/01/2024,1/02/2024,1/09/2024,1/07/2024
accounting_period_end_date,30/09/2024,30/11/2024,30/09/2024,31/01/2024,29/02/2024,30/09/2024,31/07/2024
accounting_period_name,Sep-24,Nov-24,Sep-24,Jan-24,Feb-24,Sep-24,Jul-24
accounting_period_parent_name,Q3 2024,Q4 2024,Q3 2024,Q1 2024,Q1 2024,Q3 2024,Q3 2024
l3_profit_centre_id,null,null,null,null,null,null,null
l3_profit_centre_name,null,null,null,null,null,null,null
subsidiary_id,95,141,95,95,141,95,141
subsidiary_name,Optiver Services BV,Optiver Pty Limited,Optiver Services BV,Optiver Services BV,Optiver Pty Limited,Optiver Services BV,Optiver Pty Limited
subsidiary_country,NL,AU,NL,NL,AU,NL,AU
subsidiary_suffix,EU,null,EU,EU,null,EU,null
currency_symbol,EUR,AUD,EUR,EUR,AUD,EUR,AUD
l3_cost_centre_id,359,1206,359,576,350,359,1211
l3_cost_centre_name,General,Research Infrastructure,General,SSO,People,General,Control Change and Assurance
l2_cost_centre_id,358,1406,358,575,349,358,687
l2_cost_centre_name,General,Research Platform,General,SSO,People,General,Other Business Support
l1_cost_centre_id,306,303,306,302,1,306,688
l1_cost_centre_name,General,Technology,General,Trading,Business Operations,General,Business support
category_id,9917,1403,null,189,1316,null,2919
category_name,Workers Comp Insurance,Bonus – accrual,null,Witheld travel - Other (WKR Final Tax),Travel - Airfare (Overseas),null,Intercompany Share Rights
shared_label_id,11,null,11,5,null,11,null
shared_label_name,Optiver Services BV,null,Optiver Services BV,Shared - All,null,Optiver Services BV,null
spend_key_id,90,null,90,null,null,90,null
