transaction_id,transaction_line_id,transaction_type,transaction_date,accounting_period_id,accounting_period_start_date,accounting_period_end_date,accounting_period_name,accounting_period_parent_name,l3_profit_centre_id,l3_profit_centre_name,subsidiary_id,subsidiary_name,subsidiary_country,subsidiary_suffix,currency_symbol,l3_cost_centre_id,l3_cost_centre_name,l2_cost_centre_id,l2_cost_centre_name,l1_cost_centre_id,l1_cost_centre_name,category_id,category_name,shared_label_id,shared_label_name,spend_key_id,spend_key_name,apac_tax_status_id,apac_tax_status_name,account_id,account_number,rule,account_l1_name,account_l2_name,account_l3_name,account_l4_name,nspb_l2_name,nspb_l3_name,nspb_l4_name,account_type_id,is_income_statement,is_balance_sheet,accounting_period_is_closed,amount,l2_profit_centre_id,l2_profit_centre_name,l1_profit_centre_id,l1_profit_centre_name,allocation_country,key_id,allocation_id,comment,amount_eur,amount_aud,amount_usd,amount_cny,amount_inr,amount_gbp,amount_sgd,amount_twd,exchange_rate_local_eur,exchange_rate_aud_eur,exchange_rate_usd_eur,exchange_rate_cny_eur,exchange_rate_inr_eur,exchange_rate_gbp_eur,exchange_rate_sgd_eur,exchange_rate_twd_eur,from_region,to_region,employee_id,allocation,timesheet_profit_centre,fte,fte_allocation,marbles,marble_allocation,is_capital
7154604,3,Journal,2024-09-30T00:00:00.000Z,290,1/09/2024,30/09/2024,Sep-24,Q3 2024,null,null,95,Optiver Services BV,NL,EU,EUR,359,General,358,General,306,General,9917,Workers Comp Insurance,11,Optiver Services BV,90,Shared - AMS Office,null,null,1327,50111001,Timesheet,Personnel expenses,Wages,Wages staff,Gross salary,Operating expenses,Personnel expenses,Personnel - Wages,Expense,TRUE,FALSE,TRUE,302.6,2010,D1 Medium Frequency Strategy,109,D1,NL,TIMESHEET290NLEU359,NL2010,"""Timesheet"" transaction line allocated using ""Timesheet"" allocation key.",302.6,496.7,336.04,2378.7,28158.88,254.42,435.73,10741.7,0.9999999999891821,0.6092189329999999,0.9004818330037702,0.12721253322007117,0.010746167,1.189349667,0.6944587999999998,0.0281706,TA,TA,null,null,null,null,null,null,null,null
7540630,27,Journal,2024-11-30T00:00:00.000Z,293,1/11/2024,30/11/2024,Nov-24,Q4 2024,null,null,141,Optiver Pty Limited,AU,null,AUD,1206,Research Infrastructure,1406,Research Platform,303,Technology,1403,Bonus – accrual,null,null,null,null,null,null,1345,50121001,Timesheet,Personnel expenses,Social security,Social security on wages,Social security,Operating expenses,Personnel expenses,Personnel - Social Security,Expense,TRUE,FALSE,TRUE,-208.47,328,Single Stock Options,1409,SSO,AU,TIMESHEET293AU1206,AU328,"""Timesheet"" transaction line allocated using ""Timesheet"" allocation key.",-128.02,-208.47,-136.11,-979.26,-11480.39,-106.8,-181.89,-4403.72,0.6140769670000003,0.6140769670000003,0.9405543670029216,0.13072726698966775,0.011150900000000002,1.198656333,0.7037972670000001,0.0290701,APAC,APAC,null,null,null,null,null,null,null,null
7197594,83,Journal,2024-09-30T00:00:00.000Z,290,1/09/2024,30/09/2024,Sep-24,Q3 2024,null,null,95,Optiver Services BV,NL,EU,EUR,359,General,358,General,306,General,null,null,11,Optiver Services BV,90,Shared - AMS Office,null,null,1371,50173006,Timesheet,Personnel expenses,Other personnel expenses,Travel,Travel - Accommodation,Operating expenses,Personnel expenses,Personnel - Travel,Expense,TRUE,FALSE,TRUE,2986.85,2010,D1 Medium Frequency Strategy,109,D1,NL,TIMESHEET290NLEU359,NL2010,"""Timesheet"" transaction line allocated using ""Timesheet"" allocation key.",2986.85,4902.75,3316.95,23479.21,277945.62,2511.33,4300.98,106027.21,0.9999999999891821,0.6092189329999999,0.9004818330037702,0.12721253322007117,0.010746167,1.189349667,0.6944587999999998,0.0281706,TA,TA,null,null,null,null,null,null,null,null
6018769,484,Journal,2024-01-24T00:00:00.000Z,280,1/01/2024,31/01/2024,Jan-24,Q1 2024,null,null,95,Optiver Services BV,NL,EU,EUR,576,SSO,575,SSO,302,Trading,189,Witheld travel - Other (WKR Final Tax),5,Shared - All,null,null,null,null,1366,50173001,Timesheet,Personnel expenses,Other personnel expenses,Travel,Travel - Public transport,Operating expenses,Personnel expenses,Personnel - Travel,Expense,TRUE,FALSE,TRUE,-23.19,102,Index Options,1308,IXO,NL,TIMESHEET280NLEU576,NL102,"""Timesheet"" transaction line allocated using ""Timesheet"" allocation key.",-23.19,-38.07,-25.31,-180.26,-2095.91,-19.92,-33.81,-789.29,1.000000000006954,0.6091029680000001,0.9163970910718757,0.12864642077460114,0.011064412,1.163982903,0.6859848710000003,0.029380871,TA,TA,null,null,null,null,null,null,null,null
6098014,105,VendBill,2024-02-08T00:00:00.000Z,281,1/02/2024,29/02/2024,Feb-24,Q1 2024,null,null,141,Optiver Pty Limited,AU,null,AUD,350,People,349,People,1,Business Operations,1316,Travel - Airfare (Overseas),null,null,null,null,null,null,1368,50173003,Timesheet,Personnel expenses,Other personnel expenses,Travel,Travel,Operating expenses,Personnel expenses,Personnel - Travel,Expense,TRUE,FALSE,TRUE,-3.17,2008,D1 Cash,109,D1,NL,TIMESHEET281AU350,NL2008,"""Timesheet"" transaction line allocated using ""Timesheet"" allocation key.",-1.92,-3.17,-2.07,-14.76,-171.96,-1.64,-2.78,-65.06,0.604836724,0.604836724,0.9264335431516812,0.1299185414754057,0.011150060500000001,1.170271379,0.6887360000000002,0.029470724,APAC,TA,null,null,null,null,null,null,null,null
7197594,92,Journal,2024-09-30T00:00:00.000Z,290,1/09/2024,30/09/2024,Sep-24,Q3 2024,null,null,95,Optiver Services BV,NL,EU,EUR,359,General,358,General,306,General,null,null,11,Optiver Services BV,90,Shared - AMS Office,null,null,1386,50175401,Timesheet,Personnel expenses,Other personnel expenses,Recruitment,Interns,Operating expenses,Recruitment,null,Expense,TRUE,FALSE,TRUE,21.86,2010,D1 Medium Frequency Strategy,109,D1,NL,TIMESHEET290NLEU359,NL2010,"""Timesheet"" transaction line allocated using ""Timesheet"" allocation key.",21.86,35.88,24.28,171.84,2034.21,18.38,31.48,775.99,0.9999999999891821,0.6092189329999999,0.9004818330037702,0.12721253322007117,0.010746167,1.189349667,0.6944587999999998,0.0281706,TA,TA,null,null,null,null,null,null,null,null
6899999,3,Journal,2024-07-31T00:00:00.000Z,288,1/07/2024,31/07/2024,Jul-24,Q3 2024,null,null,141,Optiver Pty Limited,AU,null,AUD,1211,Control Change and Assurance,687,Other Business Support,688,Business support,2919,Intercompany Share Rights,null,null,null,null,null,null,1398,50182001,Marble,Personnel expenses,Profit rights / share rights,Share rights,Share rights,Non-operating expenses,Share based payment,null,Expense,TRUE,FALSE,TRUE,-11.02,1710,Currencies,112,FICC,GB,MARBLE288AU1211,GB1710,"""Marble"" transaction line allocated using ""Marble"" allocation key.",-6.78,-11.02,-7.36,-52.7,-615.13,-5.72,-9.91,-240.23,0.6156504189999998,0.6156504189999998,0.9219500417635907,0.12874586109867286,0.011029289999999999,1.1854893549999999,0.6844568389999997,0.028241903,APAC,TA,null,null,null,null,null,null,null,null
7989365,3,Journal,2024-12-31T00:00:00.000Z,294,1/12/2024,31/12/2024,Dec-24,Q4 2024,null,null,83,Optiver Holding BV,NL,HD,EUR,1210,People Advisory,349,People,1,Business Operations,1403,Bonus – accrual,null,null,null,null,null,null,1351,50141001,Timesheet,Personnel expenses,Variable pay - as % of fixed pay,Variable pay - as % of fixed pay,Variable pay - as % of fixed pay NMH,Operating expenses,Personnel expenses,Personnel - VP as % of fixed pay,Expense,TRUE,FALSE,TRUE,17.75,102,Index Options,1308,IXO,AU,TIMESHEET294NLHD1210,AU102,"""Timesheet"" transaction line allocated using ""Timesheet"" allocation key.",17.75,29.36,18.61,134.25,1580.29,14.7,25.12,606.14,0.9999999999907085,0.6045516450000006,0.9539255480002143,0.1322131611195704,0.011232129000000004,1.207134839,0.706665032,0.029283645,TA,APAC,null,null,null,null,null,null,null,null
7058985,108,Journal,2024-08-01T00:00:00.000Z,289,1/08/2024,31/08/2024,Aug-24,Q3 2024,null,null,141,Optiver Pty Limited,AU,null,AUD,1901,D1 Cash,316,D1,302,Trading,1403,Bonus – accrual,null,null,null,null,null,null,1345,50121001,Timesheet,Personnel expenses,Social security,Social security on wages,Social security,Operating expenses,Personnel expenses,Personnel - Social Security,Expense,TRUE,FALSE,TRUE,82851.03,2008,D1 Cash,109,D1,AU,TIMESHEET289AU1901,AU2008,"""Timesheet"" transaction line allocated using ""Timesheet"" allocation key.",49997.24,82851.03,55065.24,392532.31,4618682.91,42576.4,72511.16,1776717.87,0.6034595160000004,0.6034595160000004,0.9079638434007405,0.1273710253829269,0.010825,1.174294839,0.6895110320000002,0.028140226,APAC,APAC,null,null,null,null,null,null,null,null
6165933,2,Journal,2024-02-29T00:00:00.000Z,281,1/02/2024,29/02/2024,Feb-24,Q1 2024,null,null,153,Optiver FX Limited,GB,null,USD,338,Legal,337,Legal,688,Business support,null,null,null,null,null,null,null,null,1426,50331004,Timesheet,General and administrative expenses,Consulting expenses,Consulting expenses,Legal,Operating expenses,Consulting,null,Expense,TRUE,FALSE,TRUE,-56.16,2009,D1 High Frequency Trading,109,D1,NL,TIMESHEET281GB338,NL2009,"""Timesheet"" transaction line allocated using ""Timesheet"" allocation key.",-52.03,-86.02,-56.16,-400.47,-4666.21,-44.46,-75.54,-1765.43,0.9264335431516812,0.604836724,0.9264335431516812,0.1299185414754057,0.011150060500000001,1.170271379,0.6887360000000002,0.029470724,TA,TA,null,null,null,null,null,null,null,null
