col_name,data_type,comment
transaction_id,"decimal(38,0)",null
transaction_line_id,"decimal(38,0)",null
transaction_type,string,null
transaction_date,timestamp,null
accounting_period_id,"decimal(38,0)",null
accounting_period_start_date,date,null
accounting_period_end_date,date,null
accounting_period_name,string,null
accounting_period_parent_name,string,null
l3_profit_centre_id,"decimal(38,0)",null
l3_profit_centre_name,string,null
subsidiary_id,"decimal(38,0)",null
subsidiary_name,string,null
subsidiary_country,string,null
subsidiary_suffix,string,null
currency_symbol,string,null
l3_cost_centre_id,"decimal(38,0)",null
l3_cost_centre_name,string,null
l2_cost_centre_id,"decimal(38,0)",null
l2_cost_centre_name,string,null
l1_cost_centre_id,"decimal(38,0)",null
l1_cost_centre_name,string,null
category_id,"decimal(38,0)",null
category_name,string,null
shared_label_id,"decimal(38,0)",null
shared_label_name,string,null
spend_key_id,"decimal(38,0)",null
spend_key_name,string,null
apac_tax_status_id,"decimal(38,0)",null
apac_tax_status_name,string,null
account_id,"decimal(38,0)",null
account_number,string,null
rule,string,null
account_l1_name,string,null
account_l2_name,string,null
account_l3_name,string,null
account_l4_name,string,null
nspb_l2_name,string,null
nspb_l3_name,string,null
nspb_l4_name,string,null
account_type_id,string,null
is_income_statement,boolean,null
is_balance_sheet,boolean,null
accounting_period_is_closed,boolean,null
amount,"decimal(38,2)",null
l2_profit_centre_id,"decimal(38,0)",null
l2_profit_centre_name,string,null
l1_profit_centre_id,"decimal(38,0)",null
l1_profit_centre_name,string,null
allocation_country,string,null
key_id,string,null
allocation_id,string,null
comment,string,null
amount_eur,"decimal(38,2)",null
amount_aud,"decimal(38,2)",null
amount_usd,"decimal(38,2)",null
amount_cny,"decimal(38,2)",null
amount_inr,"decimal(38,2)",null
amount_gbp,"decimal(38,2)",null
amount_sgd,"decimal(38,2)",null
amount_twd,"decimal(38,2)",null
exchange_rate_local_eur,double,null
exchange_rate_aud_eur,double,null
exchange_rate_usd_eur,double,null
exchange_rate_cny_eur,double,null
exchange_rate_inr_eur,double,null
exchange_rate_gbp_eur,double,null
exchange_rate_sgd_eur,double,null
exchange_rate_twd_eur,double,null
from_region,string,null
to_region,string,null
employee_id,string,null
allocation,string,null
timesheet_profit_centre,string,null
fte,double,null
fte_allocation,"decimal(38,9)",null
marbles,double,null
marble_allocation,"decimal(38,9)",null
is_capital,boolean,null
